Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2024,Fall,2024-fa,CHEM,102,General Chemistry I,LEC,6,15,8,17,33,22,24,23,20,1,8,13,0,8,198,"Brandvold, Steve"
2024,Fall,2024-fa,CHEM,102,General Chemistry I,LEC,4,27,26,22,24,38,25,28,23,9,0,0,9,3,238,"Vasquez-Holm, Mihail"
2024,Spring,2024-sp,CHEM,102,General Chemistry I,LCD,4,16,23,30,51,31,36,20,29,16,6,24,0,10,296,"Brandvold, Steven"
2024,Spring,2024-sp,CHEM,102,General Chemistry I,LCD,14,14,13,3,44,20,42,37,14,13,4,0,1,9,228,"Vasquez-Holm, Mihail"
2020,Fall,2020-fa,CHEM,103,General Chemistry Lab I,LEC,15,14,11,8,6,1,5,2,0,0,3,2,0,0,67,"Sevilla, Magnus"
2020,Spring,2020-sp,CHEM,103,General Chemistry Lab I,ONL,15,23,4,2,4,0,3,0,1,0,0,1,0,0,53,"Sevilla, M"
2021,Fall,2021-fa,CHEM,103,General Chemistry Lab I,LCD,14,14,4,6,2,1,4,0,0,0,4,0,5,2,56,"Sevilla, Magnus"
2022,Fall,2022-fa,CHEM,103,General Chemistry Lab I,LEC,19,12,4,5,6,6,0,1,0,0,0,3,0,3,59,"Sevilla, Magnus"
2021,Spring,2021-sp,CHEM,104,General Chemistry II,DIS,7,8,6,3,11,1,3,9,3,5,3,2,0,1,62,"Brandvold, S"
2021,Spring,2021-sp,CHEM,104,General Chemistry II,LEC,12,16,35,42,49,18,31,6,28,13,5,0,0,7,262,"Brandvold, Steven"
2022,Spring,2022-sp,CHEM,104,General Chemistry II,LEC,2,27,22,21,28,22,27,36,24,17,8,4,0,13,251,"Brandvold, Steve"
2023,Spring,2023-sp,CHEM,104,General Chemistry II,LEC,7,13,6,16,16,16,12,16,11,0,0,3,6,3,125,"Brandvold, Steven"
2024,Fall,2024-fa,CHEM,104,General Chemistry II,LEC,39,37,43,35,47,37,31,69,45,2,11,4,0,10,410,"Brandvold, Steven"
2024,Spring,2024-sp,CHEM,104,General Chemistry II,LCD,7,17,33,35,29,19,34,25,16,14,16,13,1,4,263,"Brandvold, S"
2021,Fall,2021-fa,CHEM,105,General Chemistry Lab II,ONL,8,18,11,9,7,3,4,0,0,0,0,0,0,2,62,"Galloway, C"
2022,Fall,2022-fa,CHEM,105,General Chemistry Lab II,LEC,9,20,10,1,7,3,1,2,0,3,0,3,4,0,63,"Szymanski, A"
2022,Spring,2022-sp,CHEM,105,General Chemistry Lab II,LCD,9,14,5,1,3,3,4,0,1,0,0,1,2,0,43,"Galloway, Chinedu"
2023,Fall,2023-fa,CHEM,105,General Chemistry Lab II,LCD,6,20,5,2,6,0,0,0,0,3,0,2,2,4,50,"Delgadillo, Jarosław"
2023,Fall,2023-fa,CHEM,105,General Chemistry Lab II,LCD,5,18,6,4,3,3,1,4,3,0,3,0,1,0,51,"Szymanski, Andrew"
2023,Spring,2023-sp,CHEM,105,General Chemistry Lab II,LCD,5,21,5,1,3,0,0,2,0,1,0,0,0,2,40,"Delgadillo, Jarosław"
2023,Spring,2023-sp,CHEM,105,General Chemistry Lab II,LEC,17,19,14,4,7,0,0,0,2,1,2,0,0,0,66,"Galloway, C"
2023,Spring,2023-sp,CHEM,105,General Chemistry Lab II,LEC,13,21,13,2,8,0,7,2,1,0,1,2,0,4,74,"Szymanski, Andrew"
2024,Spring,2024-sp,CHEM,105,General Chemistry Lab II,LCD,10,13,8,3,5,2,2,2,0,0,2,2,2,1,52,"Delgadillo, Jarosław"
2024,Spring,2024-sp,CHEM,105,General Chemistry Lab II,LEC,5,23,6,2,3,5,1,1,0,2,0,0,0,1,49,"Szymanski, Andrew"
2025,Fall,2025-fa,CHEM,105,General Chemistry Lab II,ONL,11,22,10,6,1,1,0,0,0,1,4,0,0,0,56,"Delgadillo, Jarosław"
2020,Spring,2020-sp,CHEM,199,Undergraduate Open Seminar,ONL,11,10,0,3,0,0,0,0,0,0,0,0,0,0,24,"Achterberg, Christopher"
2021,Fall,2021-fa,CHEM,199,Undergraduate Open Seminar,LCD,8,11,4,0,0,0,0,0,1,0,0,0,0,1,25,"Galloway, Chinedu"
2021,Fall,2021-fa,CHEM,199,Undergraduate Open Seminar,LEC,7,11,1,0,0,0,1,0,0,0,0,0,0,1,21,"Achterberg, C"
2022,Fall,2022-fa,CHEM,199,Undergraduate Open Seminar,LEC,10,6,1,0,0,0,0,0,3,0,0,1,0,2,23,"Achterberg, Christopher"
2022,Fall,2022-fa,CHEM,199,Undergraduate Open Seminar,LEC,0,17,2,1,4,0,0,1,0,0,0,0,0,1,26,"Galloway, Chinedu"
2023,Fall,2023-fa,CHEM,199,Undergraduate Open Seminar,ONL,1,12,5,0,0,0,1,2,0,0,0,0,0,0,21,"Galloway, Chinedu"
2023,Spring,2023-sp,CHEM,199,Undergraduate Open Seminar,LEC,5,5,0,2,0,0,0,1,0,1,0,0,0,1,15,"Achterberg, Christopher"
2024,Fall,2024-fa,CHEM,199,Undergraduate Open Seminar,DIS,4,4,0,0,0,0,0,0,0,0,1,0,0,0,9,"Achterberg, C"
2024,Fall,2024-fa,CHEM,199,Undergraduate Open Seminar,LEC,5,11,1,0,0,0,0,0,1,1,0,0,0,0,19,"Achterberg, Christopher"
2025,Fall,2025-fa,CHEM,199,Undergraduate Open Seminar,LEC,12,5,0,0,0,0,0,0,0,0,0,0,0,0,17,"Achterberg, Christopher"
2020,Spring,2020-sp,CHEM,202,Accelerated Chemistry I,LEC,23,9,24,29,21,10,21,21,19,4,4,0,0,8,193,"Takahashi, Elif"
2021,Fall,2021-fa,CHEM,202,Accelerated Chemistry I,LEC,1,30,9,33,29,29,19,38,15,14,13,5,9,7,251,"Reinholt, Isabeau"
2021,Fall,2021-fa,CHEM,202,Accelerated Chemistry I,LEC,43,25,37,38,71,18,18,17,13,17,7,0,5,0,309,"Takahashi, Elif"
2021,Spring,2021-sp,CHEM,202,Accelerated Chemistry I,LCD,3,36,18,32,37,27,9,34,19,21,0,0,15,4,255,"Reinholt, Isabeau"
2021,Spring,2021-sp,CHEM,202,Accelerated Chemistry I,LEC,23,21,17,35,18,21,27,6,8,12,0,8,2,6,204,"Takahashi, Elif"
2022,Fall,2022-fa,CHEM,202,Accelerated Chemistry I,LEC,9,51,35,10,38,26,22,28,18,14,2,11,6,3,273,"Reinholt, Isabeau"
2022,Fall,2022-fa,CHEM,202,Accelerated Chemistry I,LEC,14,4,8,30,21,9,23,13,13,12,10,0,0,9,166,"Takahashi, Elif"
2023,Fall,2023-fa,CHEM,202,Accelerated Chemistry I,LCD,20,16,7,18,34,20,14,19,12,5,0,16,1,6,188,"Takahashi, Elif"
2023,Fall,2023-fa,CHEM,202,Accelerated Chemistry I,ONL,0,41,9,24,52,14,28,35,4,5,0,8,5,4,229,"Reinholt, Isabeau"
2023,Spring,2023-sp,CHEM,202,Accelerated Chemistry I,DIS,0,8,7,4,7,4,3,7,0,2,1,1,2,0,46,"Reinholt, I"
2023,Spring,2023-sp,CHEM,202,Accelerated Chemistry I,LEC,0,36,6,19,31,30,36,22,10,21,16,0,9,7,243,"Reinholt, Isabeau"
2023,Spring,2023-sp,CHEM,202,Accelerated Chemistry I,ONL,15,25,25,35,36,31,27,44,12,4,0,9,4,9,276,"Takahashi, Elif"
2020,Spring,2020-sp,CHEM,203,Accelerated Chemistry Lab I,LCD,2,16,17,12,21,10,4,23,1,0,0,1,0,3,110,"Karimi, Samuel"
2021,Fall,2021-fa,CHEM,203,Accelerated Chemistry Lab I,DIS,1,9,6,8,5,4,0,6,2,0,4,2,0,0,47,"Karimi, S"
2021,Fall,2021-fa,CHEM,203,Accelerated Chemistry Lab I,LCD,8,11,24,19,30,14,1,4,5,4,0,0,0,0,120,"Boguslawski, Amara"
2021,Fall,2021-fa,CHEM,203,Accelerated Chemistry Lab I,LEC,7,11,10,10,17,8,2,4,4,0,2,0,0,6,81,"Karimi, Samuel"
2021,Spring,2021-sp,CHEM,203,Accelerated Chemistry Lab I,LCD,2,10,11,13,10,6,4,2,2,0,0,0,0,1,61,"Karimi, Samuel"
2022,Fall,2022-fa,CHEM,203,Accelerated Chemistry Lab I,DIS,3,5,11,7,7,8,4,1,0,0,0,0,0,0,46,"Bogusławski, A"
2022,Fall,2022-fa,CHEM,203,Accelerated Chemistry Lab I,DIS,0,6,1,4,4,3,4,2,0,0,0,0,0,2,26,"Ćosić, D"
2022,Fall,2022-fa,CHEM,203,Accelerated Chemistry Lab I,LEC,10,23,15,20,21,19,0,13,11,1,2,1,6,5,147,"Bogusławski, Amara"
2022,Fall,2022-fa,CHEM,203,Accelerated Chemistry Lab I,LEC,1,7,21,13,17,15,3,9,0,7,0,0,3,5,101,"Karimi, Samuel"
2022,Spring,2022-sp,CHEM,203,Accelerated Chemistry Lab I,LEC,11,19,23,20,20,15,9,1,9,3,7,0,0,3,140,"Bogusławski, Amara"
2023,Fall,2023-fa,CHEM,203,Accelerated Chemistry Lab I,LEC,3,18,9,11,11,13,3,5,9,6,0,2,0,0,90,"Bogusławski, Amara"
2023,Spring,2023-sp,CHEM,203,Accelerated Chemistry Lab I,DIS,2,5,3,9,6,8,0,1,0,0,0,0,0,0,34,"Kaminski, N"
2023,Spring,2023-sp,CHEM,203,Accelerated Chemistry Lab I,LCD,5,26,15,20,11,12,3,5,1,1,4,14,6,5,128,"Karimi, S"
2023,Spring,2023-sp,CHEM,203,Accelerated Chemistry Lab I,LEC,4,16,16,17,21,11,6,2,8,3,1,0,0,3,108,"Bogusławski, Amara"
2020,Spring,2020-sp,CHEM,204,Accelerated Chemistry II,LCD,11,25,21,23,16,14,31,14,27,3,8,0,24,6,223,"Alcantara, Oriol Jr"
2021,Fall,2021-fa,CHEM,204,Accelerated Chemistry II,LCD,0,23,13,19,26,37,11,29,10,11,9,17,0,2,207,"Alcantara, Oriol"
2021,Fall,2021-fa,CHEM,204,Accelerated Chemistry II,LCD,4,16,6,20,18,8,12,16,12,6,11,3,4,8,144,"Brandvold, Steven"
2021,Spring,2021-sp,CHEM,204,Accelerated Chemistry II,LEC,9,27,35,14,24,7,34,20,15,27,5,1,16,5,239,"Brandvold, Steven"
2022,Fall,2022-fa,CHEM,204,Accelerated Chemistry II,LCD,0,17,15,14,8,6,16,17,10,6,2,0,0,3,114,"Alcantara, Oriol"
2022,Fall,2022-fa,CHEM,204,Accelerated Chemistry II,LEC,10,17,19,36,30,16,23,21,14,9,4,0,13,9,221,"Brandvold, S"
2023,Fall,2023-fa,CHEM,204,Accelerated Chemistry II,DIS,2,6,5,10,7,7,6,4,10,2,0,1,3,1,64,"Alcantara, O"
2023,Fall,2023-fa,CHEM,204,Accelerated Chemistry II,LCD,21,26,17,13,36,41,32,25,13,4,3,1,0,6,238,"Brandvold, S"
2023,Fall,2023-fa,CHEM,204,Accelerated Chemistry II,LEC,3,13,10,10,20,13,8,24,16,13,6,0,0,4,140,"Alcantara, Oriol"
2023,Spring,2023-sp,CHEM,204,Accelerated Chemistry II,DIS,2,3,2,9,7,3,3,8,6,0,1,2,0,0,46,"Brandvold, S"
2023,Spring,2023-sp,CHEM,204,Accelerated Chemistry II,LEC,4,38,23,31,26,37,22,37,0,7,21,2,0,5,253,"Brandvold, Steven"
2024,Fall,2024-fa,CHEM,204,Accelerated Chemistry II,ONL,6,8,12,21,25,10,16,19,12,2,7,5,12,9,164,"Alcantara, Oriol"
2024,Spring,2024-sp,CHEM,204,Accelerated Chemistry II,LEC,9,21,14,17,29,15,16,16,8,2,0,2,0,7,156,"Brandvold, S"
2020,Spring,2020-sp,CHEM,205,Accelerated Chemistry Lab II,LEC,2,10,6,11,13,8,1,8,0,0,0,2,3,0,64,"Baptiste, Dariusz"
2020,Spring,2020-sp,CHEM,205,Accelerated Chemistry Lab II,LEC,6,12,12,7,8,2,4,6,0,5,0,1,0,4,67,"Sevilla, Magnus"
2021,Fall,2021-fa,CHEM,205,Accelerated Chemistry Lab II,DIS,0,2,3,1,6,3,2,0,0,0,0,1,1,1,20,"Baptiste, D"
2021,Fall,2021-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,6,11,4,19,11,7,9,16,2,1,2,0,4,4,96,"Baptiste, Dariusz"
2021,Fall,2021-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,0,5,6,3,4,0,3,1,1,1,0,0,3,1,28,"Reinholt, Isabeau"
2021,Fall,2021-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,7,11,13,7,3,1,3,10,0,3,5,1,0,0,64,"Sevilla, M"
2021,Spring,2021-sp,CHEM,205,Accelerated Chemistry Lab II,LCD,14,11,13,14,9,6,2,1,0,0,6,1,4,1,82,"Sevilla, Magnus"
2021,Spring,2021-sp,CHEM,205,Accelerated Chemistry Lab II,LEC,5,10,13,6,15,9,5,0,2,0,3,2,4,3,77,"Baptiste, Dariusz"
2021,Spring,2021-sp,CHEM,205,Accelerated Chemistry Lab II,LEC,0,31,14,25,18,4,8,3,4,0,2,0,0,6,115,"Reinholt, Isabeau"
2022,Fall,2022-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,6,19,14,10,11,10,0,4,1,0,0,2,5,2,84,"Baptiste, Dariusz"
2022,Fall,2022-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,6,7,6,6,7,3,0,0,0,0,0,0,0,1,36,"Sevilla, Magnus"
2022,Spring,2022-sp,CHEM,205,Accelerated Chemistry Lab II,LCD,4,14,8,8,17,7,4,6,8,2,0,0,0,1,79,"Reinholt, Isabeau"
2023,Fall,2023-fa,CHEM,205,Accelerated Chemistry Lab II,ONL,0,12,9,12,17,9,2,3,3,7,0,4,11,1,90,"Baptiste, Dariusz"
2023,Spring,2023-sp,CHEM,205,Accelerated Chemistry Lab II,DIS,3,8,2,2,3,1,1,2,1,3,2,1,0,2,31,"Reinholt, I"
2023,Spring,2023-sp,CHEM,205,Accelerated Chemistry Lab II,LEC,4,14,15,11,15,6,7,5,9,8,0,4,2,5,105,"Reinholt, Isabeau"
2024,Fall,2024-fa,CHEM,205,Accelerated Chemistry Lab II,LEC,3,18,17,3,15,9,2,2,0,1,3,2,2,3,80,"Baptiste, Dariusz"
2020,Fall,2020-fa,CHEM,232,Elementary Organic Chemistry I,LEC,12,16,17,16,18,15,8,5,9,4,1,0,6,4,131,"Baptiste, Dariusz"
2021,Fall,2021-fa,CHEM,232,Elementary Organic Chemistry I,LEC,2,12,6,8,20,16,5,13,11,3,6,0,0,2,104,"Baptiste, Dariusz"
2021,Spring,2021-sp,CHEM,232,Elementary Organic Chemistry I,ONL,10,19,21,9,21,11,15,16,5,9,7,0,6,0,149,"Baptiste, Dariusz"
2022,Fall,2022-fa,CHEM,232,Elementary Organic Chemistry I,ONL,3,17,11,19,18,20,12,21,4,5,9,1,8,6,154,"Baptiste, Dariusz"
2022,Spring,2022-sp,CHEM,232,Elementary Organic Chemistry I,LEC,8,17,8,6,25,13,11,16,13,9,4,0,3,4,137,"Baptiste, Dariusz"
2023,Fall,2023-fa,CHEM,232,Elementary Organic Chemistry I,LEC,0,11,18,7,22,19,14,19,6,9,0,2,0,4,131,"Baptiste, Dariusz"
2023,Spring,2023-sp,CHEM,232,Elementary Organic Chemistry I,LEC,5,7,14,8,18,7,7,21,6,10,5,14,15,2,139,"Baptiste, Dariusz"
2024,Spring,2024-sp,CHEM,232,Elementary Organic Chemistry I,LCD,5,23,10,11,21,20,9,28,9,7,16,4,10,8,181,"Baptiste, Dariusz"
2021,Fall,2021-fa,CHEM,233,Elementary Organic Chem Lab I,LCD,44,45,38,25,26,20,6,0,0,5,0,0,4,4,217,"Blackwood, Elodie"
2022,Fall,2022-fa,CHEM,233,Elementary Organic Chem Lab I,LEC,66,54,41,34,31,12,12,3,0,0,7,0,3,14,277,"Blackwood, Elodie"
2023,Spring,2023-sp,CHEM,233,Elementary Organic Chem Lab I,LEC,33,31,38,18,12,13,1,0,0,8,5,0,0,7,166,"Blackwood, Elodie"
2024,Spring,2024-sp,CHEM,233,Elementary Organic Chem Lab I,LEC,41,61,63,9,41,20,2,16,0,5,7,0,0,7,272,"Blackwood, Elodie"
2025,Fall,2025-fa,CHEM,233,Elementary Organic Chem Lab I,LEC,53,63,31,21,37,5,0,0,8,0,9,5,0,4,236,"Blackwood, Elodie"
2025,Spring,2025-sp,CHEM,233,Elementary Organic Chem Lab I,LEC,36,26,35,20,28,12,9,1,4,2,0,0,6,6,185,"Blackwood, E"
2020,Fall,2020-fa,CHEM,236,Fundamental Organic Chem I,LEC,1,4,0,3,11,3,3,9,7,0,0,0,4,0,45,"Vasquez-Holm, Mihail"
2021,Fall,2021-fa,CHEM,236,Fundamental Organic Chem I,DIS,2,5,3,1,1,0,2,7,1,0,0,1,0,0,23,"Vasquez-Holm, M"
2021,Fall,2021-fa,CHEM,236,Fundamental Organic Chem I,LEC,0,4,3,1,8,3,3,4,1,0,0,0,2,0,29,"Vasquez-Holm, Mihail"
2022,Spring,2022-sp,CHEM,236,Fundamental Organic Chem I,LCD,5,24,9,2,16,4,4,10,0,0,0,0,7,4,85,"Vasquez-Holm, Mihail"
2023,Fall,2023-fa,CHEM,236,Fundamental Organic Chem I,ONL,1,23,7,7,20,17,5,17,1,0,3,0,5,2,108,"Vasquez-Holm, Mihail"
2024,Fall,2024-fa,CHEM,236,Fundamental Organic Chem I,ONL,0,14,6,9,11,3,3,7,5,0,4,1,2,3,68,"Vasquez-Holm, Mihail Jr"
2024,Spring,2024-sp,CHEM,236,Fundamental Organic Chem I,LEC,10,15,9,6,14,8,6,13,3,5,6,0,0,2,97,"Vasquez-Holm, Mihail"
2020,Fall,2020-fa,CHEM,237,Structure and Synthesis,ONL,0,9,9,10,11,7,8,11,5,2,1,3,0,2,78,"Alcantara, Oriol"
2021,Fall,2021-fa,CHEM,237,Structure and Synthesis,LEC,0,4,6,0,7,3,2,6,5,1,2,0,0,1,37,"Galloway, Chinedu"
2021,Spring,2021-sp,CHEM,237,Structure and Synthesis,LEC,0,4,5,2,8,4,6,8,4,1,0,0,0,1,43,"Alcantara, Oriol"
2021,Spring,2021-sp,CHEM,237,Structure and Synthesis,LEC,4,7,9,6,10,5,2,7,1,1,0,3,0,2,57,"Galloway, Chinedu"
2022,Fall,2022-fa,CHEM,237,Structure and Synthesis,LEC,1,10,9,3,17,9,9,3,12,0,0,0,0,0,73,"Galloway, Chinedu"
2022,Fall,2022-fa,CHEM,237,Structure and Synthesis,ONL,5,7,8,6,12,14,3,12,3,2,2,0,0,4,78,"Alcantara, Oriol"
2023,Fall,2023-fa,CHEM,237,Structure and Synthesis,LEC,1,9,8,8,5,5,6,8,10,2,0,1,1,1,65,"Alcantara, Oriol"
2023,Spring,2023-sp,CHEM,237,Structure and Synthesis,LCD,2,5,7,10,12,13,6,11,5,3,0,0,0,4,78,"Galloway, Chinedu"
2024,Spring,2024-sp,CHEM,237,Structure and Synthesis,LCD,4,2,7,5,13,11,12,6,5,0,5,0,0,0,70,"Alcantara, Oriol"
2020,Spring,2020-sp,CHEM,315,Instrumental Chem Systems Lab,ONL,17,22,18,19,19,5,13,12,3,0,0,0,0,1,129,"Achterberg, Christopher"
2021,Spring,2021-sp,CHEM,315,Instrumental Chem Systems Lab,LEC,13,15,11,16,7,4,8,4,1,1,0,0,0,1,81,"Achterberg, C"
2022,Spring,2022-sp,CHEM,315,Instrumental Chem Systems Lab,DIS,1,4,2,2,6,4,1,1,0,0,0,1,1,0,23,"Achterberg, C"
2022,Spring,2022-sp,CHEM,315,Instrumental Chem Systems Lab,LEC,11,20,18,17,14,5,6,1,6,1,0,0,0,2,101,"Achterberg, Christopher"
2023,Spring,2023-sp,CHEM,315,Instrumental Chem Systems Lab,LEC,15,11,8,11,18,0,6,0,3,1,1,5,3,0,82,"Achterberg, Christopher"
2024,Fall,2024-fa,CHEM,315,Instrumental Chem Systems Lab,LCD,20,9,12,11,13,2,15,4,1,0,0,8,3,0,98,"Achterberg, Christopher"
2024,Spring,2024-sp,CHEM,315,Instrumental Chem Systems Lab,DIS,3,3,2,4,3,0,0,1,0,1,0,0,0,1,18,"Achterberg, C"
2024,Spring,2024-sp,CHEM,315,Instrumental Chem Systems Lab,LEC,10,8,13,9,12,1,13,7,1,0,0,2,2,2,80,"Achterberg, Christopher Jr"
2025,Spring,2025-sp,CHEM,315,Instrumental Chem Systems Lab,LCD,12,7,11,17,7,7,1,4,0,4,2,1,0,2,75,"Achterberg, Christopher"
2020,Fall,2020-fa,CHEM,332,Elementary Organic Chem II,DIS,6,2,2,1,5,2,0,0,0,0,0,0,0,0,18,"Baptiste, D"
2020,Fall,2020-fa,CHEM,332,Elementary Organic Chem II,LEC,15,19,16,10,12,5,4,7,12,6,3,2,0,3,114,"Baptiste, Dariusz"
2020,Spring,2020-sp,CHEM,332,Elementary Organic Chem II,DIS,5,2,3,4,5,8,3,2,2,0,0,0,0,2,36,"Takahashi, E"
2020,Spring,2020-sp,CHEM,332,Elementary Organic Chem II,LEC,17,18,16,16,24,21,17,9,13,0,8,0,10,5,174,"Baptiste, Dariusz Jr"
2020,Spring,2020-sp,CHEM,332,Elementary Organic Chem II,LEC,22,18,24,7,22,2,2,9,3,2,6,0,5,4,126,"Takahashi, Elif"
2020,Spring,2020-sp,CHEM,332,Elementary Organic Chem II,LEC,13,23,13,10,15,4,7,4,0,3,4,9,0,1,106,"Vasquez-Holm, Mihail"
2021,Fall,2021-fa,CHEM,332,Elementary Organic Chem II,ONL,34,28,22,17,14,12,22,13,7,0,0,0,12,8,189,"Takahashi, Elif"
2021,Spring,2021-sp,CHEM,332,Elementary Organic Chem II,LCD,9,16,4,8,9,8,18,5,5,3,8,0,2,4,99,"Baptiste, Dariusz"
2021,Spring,2021-sp,CHEM,332,Elementary Organic Chem II,LEC,20,27,5,7,11,9,10,8,5,4,5,2,10,6,129,"Vasquez-Holm, Mihail"
2022,Fall,2022-fa,CHEM,332,Elementary Organic Chem II,LEC,5,22,11,11,17,11,7,7,7,15,11,0,8,6,138,"Baptiste, Dariusz"
2022,Fall,2022-fa,CHEM,332,Elementary Organic Chem II,ONL,23,19,11,12,21,6,3,8,2,1,7,0,0,4,117,"Takahashi, Elif"
2022,Spring,2022-sp,CHEM,332,Elementary Organic Chem II,DIS,5,5,4,8,9,4,6,0,3,0,2,4,1,2,53,"Vasquez-Holm, M"
2022,Spring,2022-sp,CHEM,332,Elementary Organic Chem II,LCD,17,16,2,9,10,0,1,6,5,7,4,12,3,6,98,"Takahashi, Elif"
2022,Spring,2022-sp,CHEM,332,Elementary Organic Chem II,LEC,20,20,14,15,15,23,16,12,4,0,2,9,2,1,153,"Baptiste, Dariusz"
2022,Spring,2022-sp,CHEM,332,Elementary Organic Chem II,LEC,2,12,12,6,9,8,3,12,4,6,0,4,4,3,85,"Vasquez-Holm, Mihail"
